name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
Coleridge Mini Park - Concrete Pathway Drinking Fountain,8807706955663165370,drinking_water,1,0,0,0,37.74428394,-122.41949465,Coleridge & Esmeralda Streets,San Francisco,CA,94110,Coleridge Mini Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.419494653 37.744283939),9,Bernal Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,83,9,2,2,156
Upper Noe Rec Center - Dog Play Area Drinking Fountain,9061434115000494940,drinking_water,1,0,0,0,37.74272962,-122.42702129,Day & Sanchez St,San Francisco,CA,94131,Upper Noe Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.427021288 37.742729619),8,Noe Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,84,9,5,22,100
Moscone Rec Center,4678029647536132904,restroom,0,0,0,0,37.80148454651481,-122.4331857700532,1800 Chestnut St,San Francisco,CA,94123,Moscone Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43318577 37.801484547),2,Marina,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,17,4,6,13,135
Mission Rec Center - Children's Play Area Drinking Fountains,8020804337672981638,drinking_water,1,0,0,0,37.7581285,-122.413062,745 Treat St,San Francisco,CA,94110,Mission Rec Center,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.413062003 37.758128501),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,215
Harbormasters Office,7699958693289885831,restroom,0,0,0,0,37.806636388938635,-122.44262144692848,3950 Scott St,San Francisco,CA,94123,Yacht Harbor and Marina Green,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.442621447 37.806636389),,Marina,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,17,4,6,13,90
Excelsior Playground - Children's Play Area 2 Drinking Fountain,6577167529232739268,drinking_water,1,1,0,0,37.72008416,-122.43381225,Russia Ave & Madrid,San Francisco,CA,94112,Excelsior Playground,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.43381225 37.720084158),11,Excelsior,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,90,9,1,7,161
Martin Luther King Jr Pool,8462497620449821810,restroom,0,0,0,0,37.72539339193987,-122.39337823568235,3rd & Armstrong,San Francisco,CA,94124,Bayview K.C. Jones Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.393378236 37.725393392),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,77
Alamo Square - Asphalt Pathway Drinking Fountain,4280637607294235725,drinking_water,1,1,0,0,37.77667455,-122.43390501,Hayes & Steiner,San Francisco,CA,94117,Alamo Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433905005 37.776674549),5,Hayes Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,23,4,11,9,67
,8817975702393619368,,0,0,0,0,,,,,,,,,,,,,port,,,,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,,,,,
Crocker Amazon Bocce Ball Courts,8999648321766584695,restroom,0,0,0,0,37.71489675893955,-122.43204290970581,Moscow & Geneva Streets,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43204291 37.714896759),11,Excelsior,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,58,9,1,7,158
SF SPCA,6928189952947179522,drinking_water,0,1,1,0,37.765617,-122.412366,255 Alabama St,San Francisco,CA,94103,,publicly_accessible,,,Daily,,puc,POINT (-122.412366 37.765617),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,
